parameter,n_eff
matchup[306],5409.47002366023
matchup[307],5313.15461889175
matchup[308],5263.49352881065
matchup[309],5409.47002366023
matchup[310],4657.334051453
matchup[311],5409.47002366023
matchup[312],6592.83460597655
matchup[313],4997.86769533707
matchup[314],6106.99869780051
matchup[315],6106.99869780051
matchup[316],6106.99869780051
matchup[317],6106.99869780051
matchup[318],4621.70651782728
matchup[319],5700.89435773598
matchup[320],5894.40606855491
matchup[321],5938.37969815646
matchup[322],6134.96518100614
matchup[323],4622.11186559319
matchup[324],5627.35091113116
matchup[325],5457.283468668
matchup[326],6092.71385104264
matchup[327],5854.51922596783
matchup[328],6711.2699479199
matchup[329],6017.98436333939
matchup[330],6806.50112451575
matchup[331],5722.75596885175
matchup[332],5778.43362995027
matchup[333],5874.65190365062
matchup[334],5654.17620160194
matchup[335],5352.32753639698
matchup[336],6318.99964140701
matchup[337],5872.18207621457
matchup[338],5872.18207621457
matchup[339],5872.18207621457
matchup[340],6074.36655225939
matchup[341],5453.99117214952
matchup[342],6545.93125280683
matchup[343],7321.84708358275
matchup[344],5862.57442793525
matchup[345],6074.36655225939
matchup[346],6799.46694321316
matchup[347],6717.00332408251
matchup[348],7321.84708358275
matchup[349],6074.36655225939
matchup[350],6799.46694321316
matchup[351],5438.06811990676
matchup[352],5522.00027219615
matchup[353],7098.4668587836
matchup[354],6074.36655225939
matchup[355],5974.67755909417
matchup[356],6074.36655225939
matchup[357],5912.79982827051
matchup[358],6003.13478902936
matchup[359],5366.6529122876
matchup[360],7098.4668587836
matchup[361],5187.62122025867
matchup[362],6403.09234900064
matchup[363],5260.90901000795
matchup[364],5543.76297175849
matchup[365],7098.4668587836
matchup[366],5331.26162633139
matchup[367],6106.99869780051
matchup[368],5035.53338772291
matchup[369],8004.70185433979
matchup[370],8004.70185433979
matchup[371],6264.39656616326
matchup[372],8004.70185433979
matchup[373],8004.70185433979
matchup[374],6755.05212621406
matchup[375],4885.63300383744
matchup[376],8004.70185433979
matchup[377],7098.4668587836
matchup[378],5873.31600489415
matchup[379],6119.12953400719
matchup[380],5070.62374321155
matchup[381],5937.16715924959
matchup[382],4516.8345014404
matchup[383],5921.24533512732
matchup[384],7098.4668587836
matchup[385],6165.6205321713
matchup[386],5414.89084481519
matchup[387],5332.51546410359
matchup[388],5332.51546410359
matchup[389],6403.09234900064
matchup[390],5275.85427655
matchup[391],5332.51546410359
matchup[392],5332.51546410359
matchup[393],4948.70324717748
matchup[394],5332.51546410359
matchup[395],6165.6205321713
matchup[396],7440.9573955283
matchup[397],7440.9573955283
matchup[398],7440.9573955283
matchup[399],7440.9573955283
matchup[400],7440.9573955283
matchup[401],6226.67900968277
matchup[402],6056.61904036941
matchup[403],6056.61904036941
matchup[404],6056.61904036941
matchup[405],6056.61904036941
matchup[406],6056.61904036941
matchup[407],6027.1531880079
matchup[408],6226.67900968277
matchup[409],6027.1531880079
matchup[410],6226.67900968277
matchup[411],6226.67900968277
matchup[412],6027.1531880079
matchup[413],6027.1531880079
matchup[414],6226.67900968277
matchup[415],5797.24911837026
matchup[416],6027.1531880079
matchup[417],5464.83719588851
matchup[418],5675.07470129712
matchup[419],6275.06372899067
matchup[420],5535.03628555905
matchup[421],4548.9874820325
matchup[422],5576.70522729635
matchup[423],5459.57497360499
matchup[424],4998.45169472226
matchup[425],5677.50516515924
matchup[426],5270.83476257152
matchup[427],5275.05041107265
matchup[428],5581.04415639062
matchup[429],7016.94628461512
matchup[430],5564.90926199936
matchup[431],5608.16205250562
matchup[432],4549.95721213085
matchup[433],5949.84610030142
matchup[434],6243.52756978456
matchup[435],4727.7603048591
matchup[436],6317.47837217822
matchup[437],5555.79164297746
matchup[438],5260.52295404149
matchup[439],5136.38712363752
matchup[440],5668.51732412661
matchup[441],6210.8848492855
matchup[442],6191.79471257568
matchup[443],6532.99452893626
matchup[444],6347.48772584105
matchup[445],6382.74267651672
matchup[446],5011.45772804045
matchup[447],6184.72610124443
matchup[448],6280.42018943723
matchup[449],6585.94657605535
matchup[450],4639.09088303851
matchup[451],5320.51024360233
matchup[452],5274.56753267024
matchup[453],5731.5262455454
matchup[454],6382.74267651672
matchup[455],5844.42397571401
matchup[456],6843.02981639003
matchup[457],5719.04120915787
matchup[458],5516.74521122942
matchup[459],5782.89525451562
matchup[460],5151.97827027663
matchup[461],5312.27863316357
matchup[462],5276.55744734535
matchup[463],5639.04768326255
matchup[464],5152.32683912383
matchup[465],6571.81379860707
matchup[466],6310.8256072046
matchup[467],6863.30045953977
matchup[468],6136.15126598627
matchup[469],5445.67506455059
matchup[470],6071.39437495152
matchup[471],3948.91346490912
matchup[472],5549.62646860915
matchup[473],4832.21276437935
matchup[474],5516.64220756538
matchup[475],5466.70791198873
matchup[476],5379.25455853288
matchup[477],5665.312001728
matchup[478],5888.46772327522
matchup[479],5019.70452964282
matchup[480],4900.57372789995
matchup[481],5771.43968992151
matchup[482],5595.75929439217
matchup[483],5475.90294102994
matchup[484],6650.84850854898
matchup[485],6726.68388956016
matchup[486],5510.52789098231
matchup[487],5119.57349327042
matchup[488],6151.91747368374
matchup[489],6271.43271675916
matchup[490],5903.31888840534
matchup[491],5311.56809228286
matchup[492],5339.29488501289
matchup[493],6004.93147455481
matchup[494],6552.76473879474
matchup[495],5336.59768863424
matchup[496],5763.59357866858
matchup[497],5148.54918271447
matchup[498],5507.90137093137
matchup[499],4657.38458484039
matchup[500],5615.71924545306
matchup[501],6277.14450936765
matchup[502],6642.59529898656
matchup[503],6020.49587453593
matchup[504],4972.90510719441
matchup[505],5241.46169733148
matchup[506],5575.64335179674
matchup[507],5639.46551913873
matchup[508],5050.91625277257
matchup[509],5225.99713249505
matchup[510],6546.45658937522
matchup[511],4894.08934511044
matchup[512],4669.04803506953
matchup[513],5326.52095558996
matchup[514],5741.746614189
matchup[515],5543.1368908336
matchup[516],5288.60409338428
matchup[517],5481.93451769868
matchup[518],5353.75826013642
matchup[519],5289.78320424044
matchup[520],5938.74779619714
matchup[521],5153.59068640393
matchup[522],4998.67330304181
matchup[523],6319.17484860351
matchup[524],5941.6836690501
matchup[525],5500.59509230413
matchup[526],5293.03525860531
matchup[527],4652.66548367793
matchup[528],5752.98157706801
matchup[529],5205.10506531783
matchup[530],4990.47988032788
matchup[531],5252.9931909353
matchup[532],6622.46904555687
matchup[533],5902.3031499674
matchup[534],6595.37428164312
matchup[535],7344.87843040293
matchup[536],6546.45658937522
matchup[537],6595.37428164312
matchup[538],5386.85139543734
matchup[539],4430.57468400806
matchup[540],4941.56380685543
matchup[541],5249.28848690142
matchup[542],5320.29062399342
matchup[543],5380.14874726667
matchup[544],4495.33195037137
matchup[545],5709.93390936352
matchup[546],4375.74802063171
matchup[547],5697.91991476365
matchup[548],4885.30691547987
matchup[549],5614.71355251195
matchup[550],5128.41899101419
matchup[551],5496.45512427793
matchup[552],5149.92912996815
matchup[553],6200.0109651688
matchup[554],5818.57659756545
matchup[555],5278.13140461057
matchup[556],6294.43024704667
matchup[557],5612.91114818275
matchup[558],4353.73394495689
matchup[559],5502.50342985348
matchup[560],5994.37724836561
matchup[561],5299.0248000816
matchup[562],5066.93291181097
matchup[563],5922.06998559198
matchup[564],6103.21635649312
matchup[565],5010.75098229663
matchup[566],5887.55624956967
matchup[567],5822.01259251384
matchup[568],5812.66590127934
matchup[569],5509.72050185018
matchup[570],5283.29178741615
matchup[571],5007.67785826072
matchup[572],5252.03975338805
matchup[573],4863.17947376762
matchup[574],5840.17353038721
matchup[575],5674.90291308661
matchup[576],5987.00706255067
matchup[577],6369.19471598003
matchup[578],5833.55299969969
matchup[579],4822.25185367858
matchup[580],5483.17681024723
matchup[581],5414.40939472581
matchup[582],6839.03180398483
matchup[583],5806.98195476715
matchup[584],5014.78596258046
matchup[585],6703.17722049984
matchup[586],5956.99667208043
matchup[587],5750.08394039651
matchup[588],5516.70806358948
matchup[589],4931.76561318246
matchup[590],5292.87467363666
matchup[591],3845.24525480776
matchup[592],4981.58175739006
matchup[593],6291.23472435051
matchup[594],5228.4352618611
matchup[595],5430.95022141638
matchup[596],4850.18257675802
matchup[597],4954.87897363887
matchup[598],5254.96223388624
matchup[599],5400.90671746788
matchup[600],5440.43416623236
matchup[601],6051.52185382236
matchup[602],4707.33216584358
matchup[603],5725.17753551251
matchup[604],5122.87544963223
matchup[605],5338.70407210293
matchup[606],5891.11209159543
matchup[607],6500.61208335671
matchup[608],6090.21007201307
matchup[609],4813.03769494004
matchup[610],4728.74028279135
matchup[611],5080.2302771538
matchup[612],5465.22834916805
matchup[613],6703.17722049984
matchup[614],6076.95716459163
matchup[615],4852.92117796369
matchup[616],4507.96793641177
matchup[617],5143.19215211932
matchup[618],5030.3603900648
matchup[619],3960.99643905684
matchup[620],4751.3233476323
matchup[621],5744.7368926324
matchup[622],5837.07004892367
matchup[623],7109.75501651042
matchup[624],4918.02617715046
matchup[625],6798.46220837203
matchup[626],5063.36504220366
matchup[627],5348.95387608996
matchup[628],5356.80309156725
matchup[629],6709.45311255414
matchup[630],5129.52692057588
matchup[631],5265.86745828523
matchup[632],3852.10143386412
matchup[633],5590.56246809002
matchup[634],5646.99374271986
matchup[635],6505.40793308184
matchup[636],5590.818897352
matchup[637],5229.94143904204
matchup[638],5225.54951215277
matchup[639],5466.17081348579
matchup[640],6006.57597472269
matchup[641],6910.20156807649
matchup[642],4983.78257681134
matchup[643],5712.79359373641
matchup[644],4917.27306760932
matchup[645],5426.78202227094
matchup[646],4482.58777151539
matchup[647],4964.14182327978
matchup[648],5960.32528116613
matchup[649],5493.69590189114
matchup[650],4132.23834075632
matchup[651],4761.67517406084
matchup[652],6705.30732769214
matchup[653],5657.15686611996
matchup[654],5074.02501400733
matchup[655],5392.4264959691
matchup[656],5110.18338743419
matchup[657],4934.47822164326
matchup[658],6584.91374402169
matchup[659],6526.65420834438
matchup[660],5288.17957660179
matchup[661],5625.39683572402
matchup[662],6608.19175648827
matchup[663],5275.09718585437
matchup[664],4154.30120892763
matchup[665],6287.42055494539
matchup[666],4093.94253637359
matchup[667],5536.49183269811
matchup[668],5216.48615932367
matchup[669],4607.0880240934
matchup[670],6228.31551219743
matchup[671],5646.65924195604
matchup[672],6120.77588704929
matchup[673],5171.30622335447
matchup[674],4025.03871951077
matchup[675],5831.48200391672
matchup[676],4788.84379532872
matchup[677],6409.86086122313
matchup[678],6983.1498072393
matchup[679],6101.04596692722
matchup[680],5831.48200391672
matchup[681],5031.36588046169
matchup[682],5068.57194385741
matchup[683],5831.48200391672
matchup[684],6217.56222233159
matchup[685],5442.6856799964
matchup[686],6263.84617588266
matchup[687],4861.70335860813
matchup[688],5672.77499972082
matchup[689],4911.25084143383
matchup[690],6612.62963102347
matchup[691],5286.04859881419
matchup[692],5831.48200391672
matchup[693],5636.00073217135
matchup[694],5582.24269523031
matchup[695],5831.48200391672
matchup[696],5213.02648073227
matchup[697],6319.20544946727
matchup[698],6256.21207338879
matchup[699],5531.05529540012
matchup[700],6214.80530403643
matchup[701],5400.01644397847
matchup[702],5856.76181162889
matchup[703],4854.89901992873
matchup[704],6319.20544946727
matchup[705],6120.12859439575
matchup[706],5850.17377789674
matchup[707],6319.20544946727
matchup[708],5400.01644397847
matchup[709],6319.20544946727
matchup[710],5400.01644397847
matchup[711],6319.20544946727
matchup[712],5400.01644397847
matchup[713],6525.71570152339
matchup[714],5400.01644397847
matchup[715],7779.20850000969
matchup[716],6525.71570152339
matchup[717],7779.20850000969
matchup[718],7779.20850000969
matchup[719],7779.20850000969
matchup[720],7779.20850000969
matchup[721],6762.05041248576
matchup[722],6762.05041248576
matchup[723],5417.31891179606
matchup[724],6559.63997073334
matchup[725],6559.63997073334
matchup[726],5655.3140023993
matchup[727],5196.02344210249
matchup[728],6559.63997073334
matchup[729],6559.63997073334
matchup[730],4563.26842120006
matchup[731],5017.79315063992
matchup[732],6559.63997073334
matchup[733],6885.67413026224
matchup[734],5460.92165827875
matchup[735],6762.05041248576
matchup[736],5284.67265294147
matchup[737],5628.79900543515
matchup[738],6598.3095170734
matchup[739],4170.65379483882
matchup[740],6224.20202783608
matchup[741],5072.94130874522
matchup[742],6224.20202783608
matchup[743],6658.67694572959
matchup[744],4920.13264897189
matchup[745],6224.20202783608
sd_player,1232.69263103931
sd_starter_vs_starter,2026.02997218058
sd_starter_vs_spec,1189.28353158241
sd_spec_vs_spec,1530.80035825146
player[1],3395.87667638292
player[2],4806.07469139641
player[3],4194.50568638326
player[4],4033.31326641472
player[5],3415.7715820044
player[6],2769.7264917315
player[7],3494.43697389817
player[8],2655.66958791788
player[9],3334.14547526674
player[10],2928.46037027638
player[11],4701.65944017193
player[12],3051.25642338149
player[13],3599.95285138426
player[14],2514.87891249372
player[15],4875.81012766278
player[16],2181.43191879109
